Time,PV Productie (W)
29-01-2019 0:00,"0"
29-01-2019 0:15,"0"
29-01-2019 0:30,"0"
29-01-2019 0:45,"0"
29-01-2019 1:00,"0"
29-01-2019 1:15,"0"
29-01-2019 1:30,"0"
29-01-2019 1:45,"0"
29-01-2019 2:00,"0"
29-01-2019 2:15,"0"
29-01-2019 2:30,"0"
29-01-2019 2:45,"0"
29-01-2019 3:00,"0"
29-01-2019 3:15,"0"
29-01-2019 3:30,"0"
29-01-2019 3:45,"0"
29-01-2019 4:00,"0"
29-01-2019 4:15,"0"
29-01-2019 4:30,"0"
29-01-2019 4:45,"0"
29-01-2019 5:00,"0"
29-01-2019 5:15,"0"
29-01-2019 5:30,"0"
29-01-2019 5:45,"0"
29-01-2019 6:00,"0"
29-01-2019 6:15,"0"
29-01-2019 6:30,"0"
29-01-2019 6:45,"0"
29-01-2019 7:00,"0"
29-01-2019 7:15,"0"
29-01-2019 7:30,"0"
29-01-2019 7:45,"0"
29-01-2019 8:00,"0"
29-01-2019 8:15,"0"
29-01-2019 8:30,"44.6667"
29-01-2019 8:45,"102"
29-01-2019 9:00,"207.6667"
29-01-2019 9:15,"422.6667"
29-01-2019 9:30,"416.3333"
29-01-2019 9:45,"528.6667"
29-01-2019 10:00,"1044.6666"
29-01-2019 10:15,"1176.6666"
29-01-2019 10:30,"1112"
29-01-2019 10:45,"2020.6666"
29-01-2019 11:00,"2210.6667"
29-01-2019 11:15,"2448"
29-01-2019 11:30,"2603"
29-01-2019 11:45,"3338.6667"
29-01-2019 12:00,"3227"
29-01-2019 12:15,"3253.6667"
29-01-2019 12:30,"3804"
29-01-2019 12:45,"3682.6667"
29-01-2019 13:00,"3838.3333"
29-01-2019 13:15,"3875.3333"
29-01-2019 13:30,"4050"
29-01-2019 13:45,"4057.6667"
29-01-2019 14:00,"3908.6667"
29-01-2019 14:15,"3761"
29-01-2019 14:30,"2998.3333"
29-01-2019 14:45,"3282.3333"
29-01-2019 15:00,"3166.3333"
29-01-2019 15:15,"1713.3334"
29-01-2019 15:30,"1069.3334"
29-01-2019 15:45,"1090.3334"
29-01-2019 16:00,"576.3333"
29-01-2019 16:15,"349.3333"
29-01-2019 16:30,"158.3333"
29-01-2019 16:45,"51"
29-01-2019 17:00,"17.3333"
29-01-2019 17:15,"0"
29-01-2019 17:30,"0"
29-01-2019 17:45,"0"
29-01-2019 18:00,"0"
29-01-2019 18:15,"0"
29-01-2019 18:30,"0"
29-01-2019 18:45,"0"
29-01-2019 19:00,"0"
29-01-2019 19:15,"0"
29-01-2019 19:30,"0"
29-01-2019 19:45,"0"
29-01-2019 20:00,"0"
29-01-2019 20:15,"0"
29-01-2019 20:30,"0"
29-01-2019 20:45,"0"
29-01-2019 21:00,"0"
29-01-2019 21:15,"0"
29-01-2019 21:30,"0"
29-01-2019 21:45,"0"
29-01-2019 22:00,"0"
29-01-2019 22:15,"0"
29-01-2019 22:30,"0"
29-01-2019 22:45,"0"
29-01-2019 23:00,"0"
29-01-2019 23:15,"0"
29-01-2019 23:30,"0"
29-01-2019 23:45,"0"
